NAME,IATA
Utirik Airport,UTK
Ocean Reef Club Airport,OCA
Pilot Station Airport,PQS
Crested Butte Airpark,CSE
LBJ Ranch Airport,JCY
Metropolitan Airport,PMX
Nunapitchuk Airport,NUP
Icy Bay Airport,ICY
Kalakaket Creek AS Airport,KKK
Dunsmuir Muni-Mott Airport,MHS
Chase Field Industrial Airport,NIR
Grand Canyon Bar Ten Airstrip,GCT
Lime Village Airport,LVD
Hog River Airport,HGZ
Ed-Air Airport,OTN
Telida Airport,TLF
Eagle Air Park,BZT
Blakely Island Airport,BYW
Drift River Airport,DRF
Rinkenberger Restricted Landing Area,BDF
Roy Otten Memorial Airfield,VRS
Atmautluak Airport,ATT
Livengood Camp Airport,LIV
Pedro Bay Airport,PDB
Ouzinkie Airport,KOZ
Tununak Airport,TNK
Minto Al Wright Airport,MNT
Aleknagik / New Airport,WKK
Naknek Airport,NNK
Southern Seaplane Airport,BCS
Earl Henry Airport,BWL
Center Island Airport,CWS
Tatitlek Airport,TEK
Pine Island Airport,DUF
Stuart Island Airpark,SSW
Fort Bragg Airport,FOB
Maxson Airfield,AXB
Reese Airpark,REE
Waldron Airstrip,WDN
Chuathbaluk Airport,CHU
Ugashik Airport,UGS
Marlboro Airport,MXG
Levelock Airport,KLL
Tuntutuliak Airport,WTL
Twin Hills Airport,TWA
Chignik Lake Airport,KCQ
Adado Airport,AAD
Atkamba Airport,ABP
Andakombe Airport,ADC
El Daein Airport,ADV
Adareil Airport,AEE
Aseki Airport,AEK
Ar Horqin Airport,AEQ
Or???®zg???n Airport,URZ
Salerno Airport,OLR
Afore Airstrip,AFR
Afutara Aerodrome,AFT
Ulawa Airport,RNA
Uru Harbour Airport,ATD
Barakoma Airport,VEV
Geva Airport,GEF
Angoram Airport,AGG
Gwaunaru'u Airport,AKS
Bellona/Anua Airport,BNY
Choiseul Bay Airport,CHY
Ballalae Airport,BAS
Fera/Maringe Airport,FRE
Honiara International Airport,HIR
Babanakira Airport,MBU
Avu Avu Airport,AVU
Ngorangora Airport,IRA
Santa Cruz/Graciosa Bay/Luova Airport,SCZ
Munda Airport,MUA
Nusatupe Airport,GZO
Mono Airport,MNY
Parasi Airport,PRS
Rennell/Tingoa Airport,RNL
Sege Airport,EGM
Santa Ana Airport,NNB
Marau Airport,RUS
Suavanao Airport,VAO
Yandina Airport,XYA
Kagua Airport,AGK
Kaghau Airport,KGE
Kukudu Airport,KUE
Kwailabesi Airport,KWS
Wanigela Airport,AGL
Nana Airport,NAZ
Ringi Cove Airport,RIN
Ramata Airport,RBV
Argyle Downs Airport,AGY
Hongyuan Airport,AHJ
Ambatolhy Airport,AHY
Aiome Airport,AIE
Aiambak Airport,AIH
Ailinglaplap Airok Airport,AIC
Chena Hot Springs Airport,CEX
Solomon State Field,SOL
Herendeen Bay Airport,HED
Taylor Airport,TWE
Lonely Air Station,LNI
Candle 2 Airport,CDL
Bartletts Airport,BSZ
Boswell Bay Airport,BSW
Zakuoma Airport,AKM
Sharpe Field,TGE
Mar de Cort?Ÿ??s International Airport,PPE
Alto Molocue Airport,AME
Ama Airport,AMF
Amanab Airport,AMU
Ambatomainty Airport,AMY
Nauru International Airport,INU
Angus Downs Airport,ANZ
Andulo Airport,ANL
Cangamba Airport,CNZ
Dirico Airport,DRC
Lumbala Airport,GGC
Jamba Airport,JMB
Capanda Airport,KNP
Ndalatandos Airport,NDF
Annanberg Airport,AOB
Abou-De?Ÿ??a Airport,AOD
Asapa Airport,APP
April River Airport,APR
Troll Airfield,QET
Girdwood Airport,AQY
Bragado Airport,QRF
Caleta Olivia Airport,CVI
Charata Airport,CNT
General Villegas Airport,VGS
Los Menucos Airport,LMD
Valcheta Airport,VCF
Sunchales Aeroclub Airport,NCJ
Carmen De Patagones Airport,CPG
Termal Airport,PRQ
Colonia Sarmiento Airport,OLN
Aragip Airport,ARP
Tau Airport,TAV
Asirim Airport,ASZ
Namatanai Airport,ATN
Aitape Airport,ATP
Lady Elliot Island Airstrip,LYT
Agnew Airport,AGW
Alroy Downs Airport,AYD
Baniyala Airport,BYX
Coolibah Airport,COB
Coorabie Airport,CRJ
Carlton Hill Airport,CRY
Cresswell Downs Airport,CSD
Diamantina Lakes Airport,DYM
Helenvale Airport,HLV
Kimberley Downs Airport,KBD
Kulgera Airport,KGR
Miranda Downs Airport,MWY
Camballin Airport,MYO
Orchid Beach Airport,OKB
Peppimenarti Airport,PEP
Rockhampton Downs Airport,RDA
Sturt Creek Airport,SSK
Shaw River Airport,SWB
Tom Price Airport,TPR
Torwood Airport,TWP
Springvale Airport,ZVG
Aua Island Airport,AUI
Ambunti Airport,AUJ
Agaun Airport,AUP
Aumo Airport,AUV
Alowe Airport,AWE
Alxa Left Banner Bayanhot Airport,AXF
Kompiam Airport,KPM
Buka Airport,BUA
Biaru Airport,BRP
Chimbu Airport,CMU
Munduku Airport,MDM
Kondobol Airport,KPF
Dinangat Airport,DNU
Doini Airport,DOI
Daru Airport,DAU
Embessa Airport,EMS
Edwaki Airport,XYR
Eliptamin Airport,EPT
Engati Airstrip,EGA
Emo River Airstrip,EMO
Erume Airport,ERU
Meselia Airport,MFZ
Feramin Airport,FRQ
Frieda River Airport,FAQ
Fuma Airport,FUM
Goroka Airport,GKA
Guari Airport,GUG
Garasa Airport,GRL
Gurney Airport,GUR
Gusap Airport,GAP
Girua Airport,PNP
Gasuke Airport,GBC
Habi Airport,HBD
Heiweni Airport,HNI
Honinabi Airport,HNN
Kimbe Airport,HKN
Haivaro Airport,HIT
Imane Airport,IMN
Kungim Airport,KGM
Imonda Airport,IMD
Ialibu Airport,IAL
Witu Airport,WIU
Yongai Airport,KGH
Losuia Airport,LSA
Kopiago Airport,KPA
Kiunga Airport,UNG
Kanainj Airport,KNE
Kikori Airport,KRI
Kerema Airport,KMA
Kar Kar Airport,KRX
Aropa Airport,KIE
Kuri Airport,KUQ
Kavieng Airport,KVG
Londolovit Airport,LNV
Lab Lab Airport,LAB
Lowai Airport,LWI
Leron Plains Airport,LPN
Lese Airport,LNG
Long Island Airport,LSJ
Manari Airport,MRM
Morobe Airport,OBM
Madang Airport,MAG
Mount Hagen Kagamuga Airport,HGU
Mougulu Airport,GUV
Mendi Airport,MDU
Momote Airport,MAS
Moro Airport,MXH
Misima Island Airport,MIS
Marawaka Airport,MWG
Nankina Airport,NKN
Negarbo(Negabo) Airport,GBF
Manguna Airport,MFO
Kasonombe Airport,KSB
Nomane Airport,NMN
Nambaiyufa Airport,NBA
Nadzab Airport,LAE
Konge Airport,KGB
Oksapmin Airport,OKP
Komako Airport,HOC
Komaio Airport,KCJ
Koroba Airport,KDE
Open Bay Airport,OPB
Pangoa Airport,PGB
Pangia Airport,PGN
Mapoda Airport,MPF
Pumani Airport,PMN
Port Moresby Jacksons International Airport,POM
Sopu Airport,SPH
Sialum Airport,SXA
Rumginae Airport,RMN
Karimui Airport,KMR
Maramuni Airport,MWI
May River Airstrip,MRH
Suabi Airport,SBE
Simberi Airport,NIS
Sila Airport,SIL
Sabah Airport,SBV
Simbai Airport,SIM
Selbang Airport,SBC
Sepik Plains Airport,SPV
Sauren Airport,SXW
Masa Airport,MBV
Tari Airport,TIZ
Tabubil Airport,TBG
Tapini Airport,TPI
Tokua Airport,RAB
Tekin Airport,TKW
Tep Tep Airport,TEP
Tsewi Airport,TSW
Tarakbits Airport,TRJ
Tawa Airport,TWY
Tekadu Airport,TKB
Aiyura Airport,AYU
Umba Airport,UMC
Uroubi Airport,URU
Upiara Airport,UPR
Uvol Airport,UVO
Talasea Airport,TLW
Torembi Airport,TCJ
Vanimo Airport,VAI
Tonu Airport,TON
Wabo Airport,WAO
Wapenamanda Airport,WBM
Wawoi Falls Airport,WAJ
Wewak International Airport,WWK
Wonenara Airport,WOA
Wakunai Airport,WKN
Wasu Airport,WSU
Woitape Airport,WTP
Wau Airport,WUG
Yeva Airport,YVD
Sim Airport,SMJ
Weam Airport,WEP
Yalumet Airport,KYX
Yasuru Airport,KSX
Wasum Airport,WUM
Zabrat Airport,ZXT
Amazon Bay Airport,AZB
Bali Airport,BAJ
Branson Airport,BKG
Bambu Airport,BCP
Benguera Island Airport,BCW
Milyakburra Airport,BCZ
Willmar Municipal -John L Rice Field,ILL
Baindoung Airport,BDZ
Malevo Airport,HKV
Bezmer Air Base,JAM
Aasiaat Airport,JEG
Narsarsuaq Airport,UAK
Neerlerit Inaat Airport,CNP
Godthaab / Nuuk Airport,GOH
Ilulissat Airport,JAV
Kulusuk Airport,KUS
Maniitsoq Airport,JSU
Bongo Airport,BGP
Paamiut Airport,JFR
Qaanaaq Airport,NAQ
Kangerlussuaq Airport,SFJ
Sisimiut Airport,JHS
Thule Air Base,THU
Upernavik Airport,JUV
Qaarsut Airport,JQA
Bah?Ÿ??a de los ?Ÿ?ngeles Airport,BHL
Brighton Downs Airport,BHT
Akureyri Airport,AEY
Bildudalur Airport,BIU
Borgarfj?Ÿ??r?Ÿ?øur eystri Airport,BGJ
Bakkafj?Ÿ??r?Ÿ?øur Airport,BJD
Hjaltabakki Airport,BLO
B?Ÿ?§?Ÿ?øardalur Airport,BQD
Brei?Ÿ?ødalsv?Ÿ??k Airport,BXV
Dj?Ÿ?§pivogur Airport,DJU
Egilssta?Ÿ?øir Airport,EGS
F?Ÿ?­skr?Ÿ?§?Ÿ?øsfj?Ÿ??r?Ÿ?øur Airport,FAS
Fagurh?Ÿ??lsm?Ÿ?«ri Airport,FAG
Grundarfj?Ÿ??r?Ÿ?øur Airport,GUU
Gj?Ÿ??gur Airport,GJR
Gr?Ÿ??msey Airport,GRY
H?Ÿ??lmav?Ÿ??k Airport,HVK
Hornafj?Ÿ??r?Ÿ?øur Airport,HFN
Holt Airport,FLI
H?Ÿ?§sav?Ÿ??k Airport,HZK
Kr?Ÿ??ksta?Ÿ?øarmelar Airport,HVM
Ingjaldssan?Ÿ?øur Airport,HLO
?Ÿ?safj?Ÿ??r?Ÿ?øur Airport,IFJ
Keflavik International Airport,KEF
K?Ÿ??pasker Airport,OPA
Sau?Ÿ?ø?Ÿ?­rkr?Ÿ??kur Airport,SAK
Nor?Ÿ?øfj?Ÿ??r?Ÿ?øur Airport,NOR
?Ÿ??lafsfj?Ÿ??r?Ÿ?øur Airport,OFJ
Patreksfj?Ÿ??r?Ÿ?øur Airport,PFJ
Reykh?Ÿ??lar Airport,RHA
Rif Airport,OLI
Raufarh?Ÿ??fn Airport,RFN
Reykjavik Airport,RKV
Reykjahl?Ÿ???Ÿ?ø Airport,MVA
Siglufj?Ÿ??r?Ÿ?øur Airport,SIJ
Stykkish?Ÿ??lmur Airport,SYK
?Ÿ??ingeyri Airport,TEY
Thorshofn Airport,THO
Vestmannaeyjar Airport,VEY
Vopnafj?Ÿ??r?Ÿ?øur Airport,VPN
Baleela Airport,BJE
Bahja Airport,BJQ
Pri???­tina International Airport,PRN
Bomai Airport,BMH
Bamburi Airport,BMQ
Bamu Airport,BMZ
Bodinumu Airport,BNM
Bundi Airport,BNT
Rurenabaque Airport,RBQ
Baures Airport,BVL
Brookings Airport,BOK
Bosset Airport,BOT
Boang Airport,BOV
Batuna Aerodrome,BPF
Alenquer Airport,ALT
Bensbach Airport,BSP
Besakoa Airport,BSV
Bulolo Airport,BUL
Esperadinha Airport,BVR
Hukuntsi Airport,HUK
Bawan Airport,BWJ
Bewani Airport,BWP
Bunsil Airport,BXZ
Boundary Airport,BYA
Bella Yella Airport,BYL
Hector Silva Airstrip,BCV
Big Creek Airport,BGK
Caye Caulker Airport,CUK
Caye Chapel Airport,CYC
Corozal Municipal Airport,CZH
Dangriga Airport,DGA
Independence Airport,INB
Melinda Airport,MDB
Orange Walk Airport,ORZ
Placencia Airport,PLJ
Punta Gorda Airport,PND
Sartaneja Airport,SJX
San Pedro Airport,SPR
Matthew Spain Airport,SQS
Santa Cruz Airport,STU
Silver Creek Airport,SVK
Belize City Municipal Airport,TZA
Bazaruto Island Airport,BZB
Bemolanga Airport,BZM
Stuart Island Airstrip,YRR
Mary River Aerodrome,YMV
Trail Airport,YZZ
Merritt Airport,YMB
Chilko Lake (Tsylos Park Lodge) Airport,CJH
Courtenay Airpark,YCA
Creston Valley Regional Airport - Art Sutcliffe Field,CFQ
Anahim Lake Airport,YAA
Douglas Lake Airport,DGF
Fort MacKay/Albian Aerodrome,JHL
Duncan Airport,DUQ
Sechelt-Gibsons Airport,YHS
Qualicum Beach Airport,XQU
Port Mcneill Airport,YMP
Cache Creek-Ashcroft Regional Airport,YZA
Bella Bella (Campbell Island) Airport,ZEL
Cherrabun Airport,CBC
Alberni Valley Regional Airport,YPB
Bob Quinn Lake Airport,YBO
Tungsten (Cantung) Airport,TNS
Tumbler Ridge Airport,TUX
Williams Harbour Airport,YWM
Postville Airport,YSO
Black Tickle Airport,YBI
St. Lewis (Fox Harbour) Airport,YFX
Port Hope Simpson Airport,YHA
Rigolet Airport,YRG
Diavik Airport,DVK
Doris Lake,JOJ
Fairview Airport,ZFW
Hinton/Jasper-Hinton Airport,YJP
What?Ÿ?ª Airport,YLE
Grande Cache Airport,YGC
Drayton Valley Industrial Airport,YDC
Fort McMurray / Mildred Lake Airport,NML
Conklin (Leismer) Airport,CFM
St. Paul Airport,ZSP
Taltheilei Narrows Airport,GSL
Macmillan Pass Airport,XMP
Great Bear Lake Airport,DAS
Fort Mackay / Firebag,YFI
Wekwe?Ÿ??t?Ÿ?ª Airport,YFJ
Donnelly Airport,YOE
Cheadle Airport,TIL
